cartodb_id,the_geom,the_geom_webmercator,objectid,id,datetimeoccur,weekday,location,districtoccur,psa,stopcode,stoptype,inside_or_outside,gender,race,age,individual_frisked,individual_searched,individual_arrested,individual_contraband,vehicle_frisked,vehicle_searched,vehicle_contraband,vehicle_contraband_list,individual_contraband_list,mvc_code,mvc_reason,mvc_code_sec,mvc_code_sec_reason,point_x,point_y,on_hin
588173,0101000020E61000000E64E2FBC7CE52C09F01799F78FC4340,0101000020110F00006F460AEE63F25FC1C7B69D36FC8B5241,629602,15307302,2021-03-21T23:49:00Z,SUNDAY,55th and thompson,19,2,2702,vehicle,Outside,Male,Black - Non-Latino,29.0,0,0,0,0,1,0,0,,,,,,,-75.23095605,39.97243112,False
1515666,0101000020E6100000FDD2CBBD3AC752C0830032D796FF4340,0101000020110F0000020D741F90E55FC1D3B3F4FB708F5241,1606133,81134013,2022-06-15T00:00:00Z,TUESDAY,3200 BLOCK KENSINGTON,24,1,2702,vehicle,Outside,Male,Black - Non-Latino,39.0,0,0,0,0,0,0,0,,,3111A,POLICE OBSERVED ABOVE VEHICLE MAKE A LEFT HAND TURN ONTO KENSINGTON FROM ALLEGHENY DISREGARDING A NO LEFT TURN SIGN CLEARLY POSTED.  POLICE STOPPED VEHICLE FOR INVES.  NCIC/PCIC.BMV CHECKED WITH NEG RESULTS.  VERBAL WARNING GIVEN.,,,-75.11296029,39.99679079,True
119175,0101000020E6100000BE0E6288D8CA52C0E0A293A556FE4340,0101000020110F0000C14132ACB4EB5FC1FD4D6B080E8E5241,125264,1292822,2019-10-08T02:30:00Z,MONDAY,2100 BLOCK N 22 ST,22,2,2702,vehicle,Outside,Male,Black - Non-Latino,63.0,0,0,0,0,0,0,0,,,,,,,-75.16946611,39.98701925,False
2069870,0101000020E61000003B8800546FC552C0B79CC73831014440,0101000020110F0000701462C383E25FC13F03B4FC37915241,2208877,624922,2018-05-03T01:20:00Z,WEDNESDAY,1900 BLOCK CHURCH,35,3,2702,vehicle,Outside,Male,Black - Non-Latino,25.0,0,0,0,0,0,0,0,,,,,,,-75.08491993,40.00931463,False
2630419,0101000020E6100000605E3E61A2C952C08E2AFD63A5014440,0101000020110F000038A9C4D8A5E95FC12B9F68CDB8915241,2778523,502801,2018-01-19T16:30:00Z,FRIDAY,3900 BLOCK N BROAD ST,39,2,2702,vehicle,Outside,Male,Black - Non-Latino,27.0,0,0,0,0,0,0,0,,,,,,,-75.15053588,40.01285982,True
382979,0101000020E61000008DAE9832ACC752C0A46483963FFF4340,0101000020110F00004720F8D650E65FC19D864E41108F5241,420912,105417564,2022-11-15T19:00:00Z,TUESDAY,600 BLOCK EAST INDIANA AVE,24,2,2701,pedestrian,Outside,Female,White - Non-Latino,55.0,0,0,0,0,0,0,0,,,,,,,-75.11988511,39.99412805,False
627413,0101000020E6100000018771B34FCC52C0DAA63EB1CAF74340,0101000020110F0000EAC6FFEE31EE5FC1222B9EFACC865241,668237,72588757,2022-04-23T23:01:00Z,SATURDAY,1400 BLOCK S 29TH ST,17,2,2702,vehicle,Outside,Male,Black - Non-Latino,44.0,0,0,0,0,0,0,0,,,4524E1,POLICE OBSERVED LISTED VEHICLE AT LISTED LOCATION WITH TINT ON ALL SURROUNDING WINDOWS DARK ENOUGH THAT POLICE COULD NOT SEE INSIDE. VEHICLE STOPPED FOR INVESTIGATION. NCIC/PCIC NO WANTS. VEHICLE RELEASED WITH A VERBAL WARNING.,,,-75.19236456,39.93587318,False
854118,0101000020E6100000012B0B4FFDCB52C0E6B6D848EDF64340,0101000020110F0000F97C6FFBA5ED5FC1F8EC0DC0D7855241,908072,88984995,2022-08-04T02:15:00Z,WEDNESDAY,1900 BLOCK S 25th St,01,1,2702,vehicle,Outside,Male,Black - Non-Latino,42.0,0,0,0,0,0,0,0,,,3323B,Pol obs veh travelling N/B on the 1900 block of S. 25th St. when it disregarded the stop sign while making a right turn onto Mifflin St.  Stopped for MVC 3323B.  NCIC/PCIC with no wants.  Verbal only.,,,-75.18733574,39.92911635,False
1585873,0101000020E610000069AB50ACECCA52C03665FA677EF44340,0101000020110F00003FD710E2D6EB5FC16B22ACFC25835241,1681375,1265201,2019-09-18T01:40:00Z,TUESDAY,3200 BLOCK 13th,25,4,2702,vehicle,Outside,Male,Black - Non-Latino,56.0,0,0,0,0,0,0,0,,,,,,,-75.17069538,39.9101076,False
741482,0101000020E610000077FE486C52CF52C095950D0880FD4340,0101000020110F00004A9020154FF35FC12AD93026208D5241,772019,1241567,2019-09-01T13:10:00Z,SUNDAY,1900 BLOCK N 59TH ST,19,1,2702,vehicle,Outside,Female,Black - Non-Latino,45.0,0,0,0,0,0,0,0,,,,,,,-75.2394057,39.98046971,False
